"","Gene"
"1","0610009B22Rik"
"6","0610030E20Rik"
"7","0610030E20Rik"
"10","0610037L13Rik"
"11","0610037L13Rik"
"20","1110012L19Rik"
"23","1110038F14Rik"
"26","1110059E24Rik"
"27","1110059G10Rik"
"28","1110059G10Rik"
"34","1500011B03Rik"
"36","1600012H06Rik"
"37","1600012H06Rik"
"46","1700030K09Rik"
"50","1700123O20Rik"
"51","1810009A15Rik"
"52","1810013L24Rik"
"55","1810030O07Rik"
"67","2210016L21Rik"
"70","2210408I21Rik"
"74","2310011J03Rik"
"77","2310022B05Rik"
"78","2310033P09Rik"
"87","2410131K14Rik"
"91","2610001J05Rik"
"92","2610001J05Rik"
"97","2610002M06Rik"
"101","2610507B11Rik"
"104","2810004N23Rik"
"105","2810006K23Rik"
"109","3110040N11Rik"
"111","3830406C13Rik"
"115","4833420G17Rik"
"116","4833439L19Rik"
"125","4930453N24Rik"
"133","4931414P19Rik"
"137","4933434E20Rik"
"138","4933434E20Rik"
"139","4933434E20Rik"
"140","4933434E20Rik"
"160","5730455P16Rik"
"161","6030458C11Rik"
"170","9130401M01Rik"
"173","9930021J03Rik"
"174","9930021J03Rik"
"181","A430005L14Rik"
"188","Aagab"
"190","Aak1"
"192","Aamp"
"193","Aamp"
"196","Aar2"
"198","Aars"
"199","Aars2"
"200","Aarsd1"
"202","Aasdhppt"
"204","Aatf"
"222","Abcb6"
"223","Abcb7"
"245","Abcd4"
"246","Abce1"
"247","Abcf1"
"248","Abcf2"
"250","Abcf3"
"254","Abhd10"
"256","Abhd11"
"257","Abhd11"
"267","Abhd16a"
"270","Abhd17c"
"285","Abl1"
"290","Abl2"
"310","Abtb1"
"317","Acad8"
"318","Acad9"
"326","Acap2"
"329","Acbd3"
"331","Acbd6"
"332","Acbd6"
"333","Acbd6"
"338","Acd"
"345","Acer3"
"346","Acin1"
"354","Aco1"
"363","Acot8"
"376","Acp6"
"389","Actl6a"
"397","Actr10"
"398","Actr1a"
"399","Actr1b"
"400","Actr2"
"404","Actr6"
"405","Actr8"
"464","Adat2"
"503","Adh5"
"510","Adipor2"
"513","Adk"
"517","Adnp2"
"527","Adprh"
"528","Adprhl2"
"529","Adprm"
"535","Adrm1"
"536","Adsl"
"537","Adsl"
"546","Aebp2"
"547","Aebp2"
"550","Aen"
"561","Afg3l1"
"570","Agap3"
"571","Agap3"
"582","Aggf1"
"583","Agl"
"589","Ago2"
"599","Agpat5"
"600","Agpat5"
"603","Agps"
"613","Ahctf1"
"614","Ahctf1"
"623","Ahsa1"
"632","AI597479"
"636","Aida"
"637","Aida"
"644","Aimp1"
"645","Aimp2"
"647","Aip"
"648","Aip"
"649","Aip"
"650","Aip"
"665","Ak2"
"666","Ak2"
"669","Ak3"
"670","Ak3"
"679","Akap11"
"680","Akap11"
"693","Akap8"
"694","Akap8l"
"698","Akirin1"
"699","Akirin2"
"707","Akt1"
"717","Akt3"
"733","Aldh16a1"
"747","Aldh4a1"
"753","Aldh9a1"
"761","Alg13"
"763","Alg2"
"764","Alg3"
"765","Alg5"
"766","Alg6"
"771","Alkbh4"
"773","Alkbh5"
"788","Alyref"
"792","Amfr"
"805","Amz2"
"806","Amz2"
"811","Anapc1"
"812","Anapc11"
"813","Anapc11"
"818","Anapc16"
"819","Anapc16"
"822","Anapc2"
"824","Anapc5"
"825","Anapc5"
"826","Anapc5"
"833","Anapc7"
"846","Ankfy1"
"849","Ankib1"
"853","Ankle2"
"855","Ankmy2"
"859","Ankrd10"
"864","Ankrd13c"
"867","Ankrd17"
"868","Ankrd17"
"883","Ankrd40"
"888","Ankrd52"
"889","Ankrd54"
"895","Anks1"
"896","Anks1"
"901","Anks3"
"902","Ankzf1"
"906","Anp32a"
"907","Anp32a"
"908","Anp32a"
"909","Anp32a"
"918","Anp32b"
"919","Anp32e"
"920","Anp32e"
"951","Ap1g1"
"953","Ap1m1"
"961","Ap2b1"
"963","Ap2m1"
"964","Ap2m1"
"968","Ap3b1"
"969","Ap3d1"
"970","Ap3m1"
"975","Ap3s2"
"977","Ap4e1"
"978","Ap4m1"
"979","Ap4s1"
"981","Ap5m1"
"987","Apba3"
"998","Apeh"
"1002","Aph1a"
"1003","Aph1a"
"1008","Api5"
"1010","Apip"
"1015","Apmap"
"1030","Apopt1"
"1031","Apopt1"
"1035","Appbp2"
"1036","Appl1"
"1044","Aqr"
"1045","Araf"
"1053","Arcn1"
"1056","Arf1"
"1059","Arf4"
"1060","Arf4"
"1063","Arfgap1"
"1066","Arfgap2"
"1067","Arfgap2"
"1070","Arfgap3"
"1073","Arfgef1"
"1074","Arfgef2"
"1075","Arfip1"
"1078","Arfrp1"
"1079","Arfrp1"
"1086","Arhgap1"
"1168","Arid1b"
"1170","Arid2"
"1174","Arih1"
"1176","Arih2"
"1179","Arl1"
"1182","Arl14ep"
"1190","Arl3"
"1196","Arl6ip1"
"1197","Arl6ip4"
"1202","Arl8b"
"1204","Armc1"
"1211","Armcx3"
"1212","Armcx3"
"1220","Armcx5"
"1224","Arnt"
"1229","Arpc2"
"1230","Arpc2"
"1237","Arpc5"
"1239","Arpp19"
"1247","Arrdc2"
"1250","Arsa"
"1266","Arv1"
"1272","Asap1"
"1273","Asap1"
"1297","Asb8"
"1302","Ascc2"
"1303","Ascc2"
"1306","Ascc3"
"1307","Asf1a"
"1310","Ash2l"
"1313","Asna1"
"1314","Asnsd1"
"1330","Asxl1"
"1331","Asxl2"
"1332","Asxl2"
"1336","Atad1"
"1339","Atad3a"
"1342","Atf1"
"1349","Atf6"
"1350","Atf6b"
"1351","Atf7ip"
"1353","Atg101"
"1354","Atg12"
"1355","Atg13"
"1357","Atg14"
