Table S3. Mouse protein-protein interactions. From columns M to Q are reported the results of the M2H screen,,,,,,,,,,,,,,,,,
EdgeID,geneid1,geneid1symbol,geneid2,geneid2symbol,PubMed IDs,Number of PubMed hits,Methods,Databases,GOSemSim BP,Common Pathways,Gold Standard,Mouse 2x2,,,,,
,,,,,,,,,,,,act:bind,bind:act,max_luc,act:bind_luc,bind:act_luc,
MM011863:MM020465,11863,Arnt,20465,Sim2,9020169,1,2 hybrid,IntAct-SS,0.805,,,,,,,,
MM012151:MM019821,12151,Pcgf4,19821,Rnf2,12183370,1,2 hybrid,IntAct-SS,0.627,,,,,,,,
MM012913:MM016150,12913,Creb3,16150,Ikbkb,15102471,1,2 hybrid,IntAct-SS,0.446,,,,,,,,
MM013207:MM016150,13207,Ddx5,16150,Ikbkb,15102471,1,2 hybrid,IntAct-SS,0.428,,,,,,,,
MM013716:MM020846,13716,Ell,20846,Stat1,15102471,1,2 hybrid,IntAct-SS,0.535,,Yes,,,,,,
MM013982:MM021848,13982,Esr1,21848,Trim24,8978696,1,2 hybrid,IntAct-SS,0.722,,Yes,,,,,,
MM014049:MM020474,14049,Eya2,20474,Six4,10490620,1,2 hybrid,IntAct-SS,0.645,,,,,,,,
MM014247:MM014265,14247,Fli1,14265,Fmr1,15102471,1,2 hybrid,IntAct-SS,0.355,,,,,,,,
MM015184:MM017261,15184,Hdac5,17261,Mef2d,15102471,1,2 hybrid,IntAct-SS,0.709,,Yes,,,,,,
MM015395:MM017268,15395,Hoxa10,17268,Meis1,15617687,1,2 hybrid,IntAct-SS,0.951,,Yes,,,,,,
MM015396:MM017268,15396,Hoxa11,17268,Meis1,15617687,1,2 hybrid,IntAct-SS,0.867,,Yes,,,,,,
MM015398:MM017536,15398,Hoxa13,17536,Mrg1,15617687,1,2 hybrid,IntAct-SS,0.738,,,,,,,,
MM015398:MM017537,15398,Hoxa13,17537,Mrg2,15617687,1,2 hybrid,IntAct-SS,0.69,,,,,,,,
MM015399:MM017268,15399,Hoxa2,17268,Meis1,15617687,1,2 hybrid,IntAct-SS,0.766,,Yes,,,,,,
MM015402:MM017268,15402,Hoxa5,17268,Meis1,15617687,1,2 hybrid,IntAct-SS,0.893,,Yes,,M222031D01:M222018C06;,4.858414,,4.858414;,
MM015405:MM017268,15405,Hoxa9,17268,Meis1,15617687,1,2 hybrid,IntAct-SS,0.951,,Yes,M222026B05:M222031D01;M222024H05:M222031D01;,,4.798539,4.019134;4.798539;,,
MM015408:MM017268,15408,Hoxb13,17268,Meis1,15617687,1,2 hybrid,IntAct-SS,0.894,,Yes,,,,,,
MM015412:MM017268,15412,Hoxb4,17268,Meis1,15617687,1,2 hybrid,IntAct-SS,0.893,,Yes,,,,,,
MM015416:MM017268,15416,Hoxb8,17268,Meis1,15617687,1,2 hybrid,IntAct-SS,0.93,,Yes,M222018B05:M222031D01;,,3.370457,3.370457;,,
MM015422:MM017268,15422,Hoxc13,17268,Meis1,15617687,1,2 hybrid,IntAct-SS,0.845,,Yes,,,,,,
MM015432:MM017268,15432,Hoxd12,17268,Meis1,15617687,1,2 hybrid,IntAct-SS,0.93,,Yes,M222011F09:M222031D01;,,4.435585,4.435585;,,
MM015433:MM017268,15433,Hoxd13,17268,Meis1,15617687,1,2 hybrid,IntAct-SS,0.849,,Yes,,,,,,
MM016150:MM018103,16150,Ikbkb,18103,Nme2,15102471,1,2 hybrid,IntAct-SS,0.183,,,,,,,,
MM016150:MM068153,16150,Ikbkb,68153,Gtf2e2,15102471,1,2 hybrid,IntAct-SS,0.469,,,,,,,,
MM017260:MM056233,17260,Mef2c,56233,Hdac7a,15102471,1,2 hybrid,IntAct-SS,0.696,,Yes,,,,,,
MM017261:MM079221,17261,Mef2d,79221,Hdac9,15102471,1,2 hybrid,IntAct-SS,0.624,,,,,,,,
MM018019:MM018132,18019,Nfatc2,18132,Notch4,15102471,1,2 hybrid,IntAct-SS,0.576,,,,,,,,
MM018019:MM027056,18019,Nfatc2,27056,Irf5,15102471,1,2 hybrid,IntAct-SS,0.8,,,,,,,,
MM018033:MM018033,18033,Nfkb1,18033,Nfkb1,9556555,1,2 hybrid,IntAct-SS,1,,Yes,,,,,,
MM018667:MM021848,18667,Pgr,21848,Trim24,8978696,1,2 hybrid,IntAct-SS,0.519,,,,,,,,
MM019401:MM021848,19401,Rara,21848,Trim24,8978696,1,2 hybrid,IntAct-SS,0.733,,Yes,,,,,,
MM020181:MM021848,20181,Rxra,21848,Trim24,8978696,1,2 hybrid,IntAct-SS,0.573,,Yes,,,,,,
MM020846:MM028019,20846,Stat1,28019,Ing4,15102471,1,2 hybrid,IntAct-SS,0.362,,Yes,,,,,,
MM020848:MM023897,20848,Stat3,23897,Hax1,15102471,1,2 hybrid,IntAct-SS,0.905,,,,,,,,
MM021848:MM022337,21848,Trim24,22337,Vdr,8978696,1,2 hybrid,IntAct-SS,0.482,,Yes,,,,,,
MM011865:MM012753,11865,Arntl,12753,Clock,14701732; 17347670; 18662546; 9704006,4,2 hybrid; affinity capture-western; anti bait coip,MINT; IntAct-SS; Biogrid,0.9,,Yes,,M222031G03:M222011A02;,12.96749,,12.96749;,
MM018035:MM019697,18035,Nfkbia,19697,Rela,18401342; 15102471,2,2 hybrid; anti bait coip,MINT; IntAct-SS,0.247,KEGG/Pathways in cancer - Mus musculus (mouse); Reactome/Viral dsRNA:TLR3:TRIF Complex Activates RIP1; Reactome/Toll Like Receptor 3 (TLR3) Cascade; Reactome/TCR signaling; Reactome/Innate Immunity Signaling; KEGG/B cell receptor signaling pathway - Mus m,,,,,,,
MM018033:MM019697,18033,Nfkb1,19697,Rela,17254973; 9556555; 11970949; 9450761,4,2 hybrid; anti bait coip; x-ray; x-ray crystallography; pull down,DIP; MINT; IntAct-SS,0.703,Reactome/Toll Like Receptor 3 (TLR3) Cascade; KEGG/Apoptosis - Mus musculus (mouse); Reactome/Signalling by NGF; Reactome/NF-kB is activated and signals survival; KEGG/B cell receptor signaling pathway - Mus musculus (mouse); KEGG/T cell receptor signalin,Yes,,M222012H05:M222025H12;,59.56654,,59.56654;,
MM011911:MM228775,11911,Atf4,228775,Trib3,12749859,1,2 hybrid; anti tag coip,IntAct-SS,0.631,,Yes,,,,,,
MM015398:MM017268,15398,Hoxa13,17268,Meis1,15617687,1,2 hybrid; anti tag coip,IntAct-SS,0.907,,,,,,,,
