,Symbol,GeneID,Name,Species,# PPI ,Type
,9130023H24Rik,100043133,RIKEN cDNA 9130023H24 gene,mouse,0,TF
,Adnp,11538,activity-dependent neuroprotective protein,mouse,2,TF
,Adnp2,240442,ADNP homeobox 2,mouse,0,TF
,Aebp1,11568,AE binding protein 1,mouse,0,TF
,Aebp2,11569,AE binding protein 2,mouse,2,TF
,Aff1,17355,"AF4/FMR2 family, member 1",mouse,0,TF
,Aff2,14266,"AF4/FMR2 family, member 2",mouse,0,TF
,Aff3,16764,"AF4/FMR2 family, member 3",mouse,0,TF
,Aff4,93736,"AF4/FMR2 family, member 4",mouse,0,TF
,Ahctf1,226747,AT hook containing transcription factor 1,mouse,1,TF
,Ahr,11622,aryl-hydrocarbon receptor,mouse,2,TF
,Ahrr,11624,aryl-hydrocarbon receptor repressor,mouse,0,TF
,Aire,11634,autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy),mouse,6,TF
,Akna,100182,AT-hook transcription factor,mouse,0,TF
,Alx1,216285,ALX homeobox 1,mouse,0,TF
,Alx3,11694,aristaless-like homeobox 3,mouse,0,TF
,Alx4,11695,aristaless-like homeobox 4,mouse,1,TF
,Ankzf1,52231,ankyrin repeat and zinc finger domain containing 1,mouse,0,TF
,Ap5z1,231855,"adaptor-related protein complex 5, zeta 1 subunit",mouse,0,TF
,Ar,11835,androgen receptor,mouse,4,TF
,Arhgap35,232906,Rho GTPase activating protein 35,mouse,0,TF
,Arid1a,93760,AT rich interactive domain 1A (SWI-like),mouse,1,TF
,Arid1b,239985,AT rich interactive domain 1B (SWI-like),mouse,3,TF
,Arid2,77044,"AT rich interactive domain 2 (ARID, RFX-like)",mouse,0,TF
,Arid3a,13496,AT rich interactive domain 3A (BRIGHT-like),mouse,2,TF
,Arid3b,56380,AT rich interactive domain 3B (BRIGHT-like),mouse,1,TF
,Arid3c,550619,AT rich interactive domain 3C (BRIGHT-like),mouse,0,TF
,Arid4a,238247,AT rich interactive domain 4A (RBP1-like),mouse,0,TF
,Arid4b,94246,AT rich interactive domain 4B (RBP1-like),mouse,0,TF
,Arid5a,214855,AT rich interactive domain 5A (MRF1-like),mouse,0,TF
,Arid5b,71371,AT rich interactive domain 5B (MRF1-like),mouse,0,TF
,Arnt,11863,aryl hydrocarbon receptor nuclear translocator,mouse,1,TF
,Arnt2,11864,aryl hydrocarbon receptor nuclear translocator 2,mouse,0,TF
,Arntl,11865,aryl hydrocarbon receptor nuclear translocator-like,mouse,7,TF
,Arntl2,272322,aryl hydrocarbon receptor nuclear translocator-like 2,mouse,0,TF
,Arx,11878,aristaless related homeobox,mouse,0,TF
,Ascl1,17172,achaete-scute family bHLH transcription factor 1,mouse,0,TF
,Ascl2,17173,achaete-scute family bHLH transcription factor 2,mouse,0,TF
,Ascl3,56787,achaete-scute family bHLH transcription factor 3,mouse,0,TF
,Ascl4,67341,achaete-scute family bHLH transcription factor 4,mouse,1,TF
,Ash1l,192195,"ash1 (absent, small, or homeotic)-like (Drosophila)",mouse,1,TF
,Ash2l,23808,"ash2 (absent, small, or homeotic)-like (Drosophila)",mouse,4,TF
,Atf1,11908,activating transcription factor 1,mouse,0,TF
,Atf2,11909,activating transcription factor 2,mouse,7,TF
,Atf3,11910,activating transcription factor 3,mouse,1,TF
,Atf4,11911,activating transcription factor 4,mouse,2,TF
,Atf5,107503,activating transcription factor 5,mouse,0,TF
,Atf6,226641,activating transcription factor 6,mouse,0,TF
,Atf6b,12915,activating transcription factor 6 beta,mouse,0,TF
,Atf7,223922,activating transcription factor 7,mouse,1,TF
,Atoh1,11921,atonal bHLH transcription factor 1,mouse,0,TF
,Atoh7,53404,atonal bHLH transcription factor 7,mouse,0,TF
,Atoh8,71093,atonal bHLH transcription factor 8,mouse,0,TF
