Symbol1,GeneID1,Type1,Symbol1,GeneID1,Type1,Species,PMID,Source,Experiment,Interaction_type,DB
Adnp,11538,TF,Tfcp2l1,81879,TF,mouse,20362541,471438,0915:physical association,0004:affinity chromatography technology,biogrid
Aebp1,11568,TF,Gmeb2,229004,TF,mouse,20211142,469317,0407:direct interaction,0018:two hybrid,biogrid
Aebp1,11568,TF,Nfe2,18022,TF,mouse,20211142,469316,0407:direct interaction,0018:two hybrid,biogrid
Aebp2,11569,TF,Ezh1,14055,TF,mouse,20064376,471689,0915:physical association,0004:affinity chromatography technology,biogrid
Aebp2,11569,TF,Ezh1,14055,TF,mouse,20064376,EBI-2535691,0914:association,0007:anti tag coimmunoprecipitation,intact
Aebp2,11569,TF,Ezh2,14056,TF,mouse,20064376,471696,0915:physical association,0004:affinity chromatography technology,biogrid
Aebp2,11569,TF,Ezh2,14056,TF,mouse,20064376,EBI-2535911,0914:association,0007:anti tag coimmunoprecipitation,intact
Aebp2,11569,TF,Ezh2,14056,TF,mouse,20064376,EBI-2547323,0914:association,0007:anti tag coimmunoprecipitation,intact
Aebp2,11569,TF,Ezh2,14056,TF,mouse,20123894,430655,0915:physical association,0004:affinity chromatography technology,biogrid
Aebp2,11569,TF,Ezh2,14056,TF,mouse,23624931,EBI-6876709,0914:association,0096:pull down,intact
Aebp2,11569,TF,Jarid2,16468,TF,mouse,20064375,431052,0915:physical association,0004:affinity chromatography technology,biogrid
Aebp2,11569,TF,Jarid2,16468,TF,mouse,20064376,471709,0915:physical association,0004:affinity chromatography technology,biogrid
Aebp2,11569,TF,Jarid2,16468,TF,mouse,20064376,EBI-2536108,0914:association,0007:anti tag coimmunoprecipitation,intact
Ahctf1,226747,TF,Foxp3,20371,TF,mouse,22922362,809937,0915:physical association,0004:affinity chromatography technology,biogrid
Ahctf1,226747,TF,Hmga2,15364,TF,mouse,26045162,EBI-9986179,0914:association,0096:pull down,intact
Ahctf1,226747,TF,Nanog,71950,TF,mouse,17093407,471591,0915:physical association,0004:affinity chromatography technology,biogrid
Ahr,11622,TF,Arnt,11863,TF,mouse,9020169,EBI-78887,0915:physical association,0018:two hybrid,intact
Ahr,11622,TF,Maf,17132,TF,mouse,20676092,EBI-3842523,0915:physical association,0007:anti tag coimmunoprecipitation,intact
Ahrr,11624,TF,Arnt,11863,TF,mouse,19251700,1055179,0915:physical association,0004:affinity chromatography technology,biogrid
Ahrr,11624,TF,Arnt,11863,TF,mouse,19251700,1055180,0915:physical association,0004:affinity chromatography technology,biogrid
Alx3,11694,TF,Jdp2,81703,TF,mouse,20211142,469319,0407:direct interaction,0018:two hybrid,biogrid
Alx4,11695,TF,Cdx1,12590,TF,mouse,20211142,469321,0407:direct interaction,0018:two hybrid,biogrid
Alx4,11695,TF,Cdx2,12591,TF,mouse,20211142,469322,0407:direct interaction,0018:two hybrid,biogrid
Alx4,11695,TF,Cdx4,12592,TF,mouse,20211142,469323,0407:direct interaction,0018:two hybrid,biogrid
Alx4,11695,TF,Dlx1,13390,TF,mouse,20211142,469324,0407:direct interaction,0018:two hybrid,biogrid
Alx4,11695,TF,Dlx2,13392,TF,mouse,20211142,469325,0407:direct interaction,0018:two hybrid,biogrid
Alx4,11695,TF,Dlx5,13395,TF,mouse,20211142,469326,0407:direct interaction,0018:two hybrid,biogrid
Alx4,11695,TF,Foxa1,15375,TF,mouse,20211142,469328,0407:direct interaction,0018:two hybrid,biogrid
Alx4,11695,TF,Foxh1,14106,TF,mouse,20211142,469327,0407:direct interaction,0018:two hybrid,biogrid
Alx4,11695,TF,Hoxa10,15395,TF,mouse,20211142,469329,0407:direct interaction,0018:two hybrid,biogrid
Alx4,11695,TF,Hoxa11,15396,TF,mouse,20211142,469330,0407:direct interaction,0018:two hybrid,biogrid
Alx4,11695,TF,Hoxb13,15408,TF,mouse,20211142,469331,0407:direct interaction,0018:two hybrid,biogrid
Alx4,11695,TF,Hoxc4,15423,TF,mouse,20211142,469332,0407:direct interaction,0018:two hybrid,biogrid
Alx4,11695,TF,Hoxd12,15432,TF,mouse,20211142,469333,0407:direct interaction,0018:two hybrid,biogrid
Alx4,11695,TF,Hoxd13,15433,TF,mouse,20211142,469334,0407:direct interaction,0018:two hybrid,biogrid
Alx4,11695,TF,Lmx1b,16917,TF,mouse,20211142,469336,0407:direct interaction,0018:two hybrid,biogrid
Alx4,11695,TF,Mixl1,27217,TF,mouse,20211142,469345,0407:direct interaction,0018:two hybrid,biogrid
Alx4,11695,TF,Otx2,18424,TF,mouse,20211142,469337,0407:direct interaction,0018:two hybrid,biogrid
Alx4,11695,TF,Pax3,18505,TF,mouse,20211142,469338,0407:direct interaction,0018:two hybrid,biogrid
