task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	bd/0b64bf	9437335	makeData (5)	COMPLETED	0	2021-01-20 11:07:43.780	3m 20s	1m 47s	93.8%	1 MB	2.1 MB	4 GB	4 MB
4	25/54482e	9437333	makeData (4)	COMPLETED	0	2021-01-20 11:07:43.694	3m 25s	1m 54s	94.2%	1 MB	2.1 MB	4 GB	3.9 MB
3	05/1c3bd8	9437336	makeData (3)	COMPLETED	0	2021-01-20 11:07:43.817	3m 25s	1m 53s	93.8%	1 MB	2.1 MB	4 GB	4 MB
1	da/d0cbc6	9437337	makeData (1)	COMPLETED	0	2021-01-20 11:07:43.854	3m 29s	2m	93.4%	1 MB	2.1 MB	4 GB	3.9 MB
2	2b/2f4533	9437334	makeData (2)	COMPLETED	0	2021-01-20 11:07:43.741	3m 35s	2m 2s	94.9%	1 MB	2.1 MB	4 GB	4 MB
13	fc/a9fe7b	9437362	estimatePCgraph (8)	COMPLETED	0	2021-01-20 11:11:13.434	23m 30s	21m 51s	1151.8%	9 GB	60.2 GB	30.5 MB	17.4 MB
12	04/1099ce	9437361	estimatePCgraph (7)	COMPLETED	0	2021-01-20 11:11:13.397	25m 20s	23m 42s	1106.2%	9.2 GB	60.3 GB	30.4 MB	17.4 MB
8	43/ca0337	9437356	estimatePCgraph (3)	COMPLETED	0	2021-01-20 11:11:08.416	28m 25s	26m 43s	1151.6%	9.3 GB	60.5 GB	30.7 MB	17.7 MB
14	6b/2d6f92	9437363	estimatePCgraph (9)	COMPLETED	0	2021-01-20 11:11:18.410	29m 15s	27m 42s	1166.6%	10.2 GB	61.4 GB	31.5 MB	18.5 MB
9	91/4b914d	9437357	estimatePCgraph (4)	COMPLETED	0	2021-01-20 11:11:08.486	29m 30s	27m 44s	1134.9%	9.4 GB	60.6 GB	30.7 MB	17.7 MB
15	df/90e6ae	9437364	estimatePCgraph (10)	COMPLETED	0	2021-01-20 11:11:18.448	29m 50s	28m 19s	1156.3%	10.6 GB	61.8 GB	31.5 MB	18.4 MB
